epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.171,2.92629,4.43914,2.91088,0.00148,0.25,0.08289,0.02251,3.30441,5.86579,3.73096,2.858e-05,2.858e-05,2.858e-05
2,53.6606,2.52455,4.39458,2.58258,0.00237,0.33333,0.13219,0.04639,2.97207,5.79596,3.07166,7.07426e-05,7.07426e-05,7.07426e-05
3,79.1662,2.31872,4.18161,2.25761,0.00489,0.41667,0.15261,0.065,2.47088,5.12596,2.40673,0.000112056,0.000112056,0.000112056
4,105.926,2.22802,3.93324,2.13514,0.0136,0.69444,0.2603,0.11576,2.09863,4.53705,2.00633,0.000152521,0.000152521,0.000152521
5,132.905,1.81254,3.29017,1.78034,0.02658,0.69444,0.32276,0.13858,1.70839,4.26271,1.74963,0.000192138,0.000192138,0.000192138
6,159.156,1.77246,3.48684,1.79018,0.01673,0.61111,0.2893,0.12716,1.68136,4.21716,1.71637,0.000230905,0.000230905,0.000230905
7,184.476,1.68519,3.24721,1.71025,0.00726,0.65278,0.38718,0.16651,1.70182,4.1861,1.70238,0.000268823,0.000268823,0.000268823
8,210.424,1.83367,3.31044,1.72997,0.00483,0.73611,0.41632,0.18004,1.68642,4.11113,1.65029,0.000305893,0.000305893,0.000305893
9,236.422,1.63956,3.01769,1.59749,0.00402,0.88889,0.40992,0.16286,1.63397,4.03537,1.59093,0.000342114,0.000342114,0.000342114
10,262.531,1.62134,2.64071,1.61289,0.00377,0.77778,0.40764,0.19031,1.62014,3.94087,1.53992,0.000377486,0.000377486,0.000377486
11,288.424,1.55311,2.74854,1.52989,0.00347,0.73611,0.41454,0.18516,1.62329,3.89838,1.54799,0.000412009,0.000412009,0.000412009
12,314.684,1.56572,2.52617,1.57127,0.01453,0.73611,0.47475,0.20546,1.76967,3.81516,1.70987,0.000445684,0.000445684,0.000445684
13,341.004,1.56608,2.78027,1.55706,1,0.09837,0.4949,0.20561,1.86321,3.69164,1.75196,0.000478509,0.000478509,0.000478509
14,367.058,1.61331,2.52756,1.63365,1,0.15199,0.50811,0.21189,1.85979,3.70466,1.7481,0.000510486,0.000510486,0.000510486
15,394.053,1.58086,2.76749,1.65744,0.92181,0.13787,0.48465,0.2137,1.81115,3.78176,1.71816,0.000541614,0.000541614,0.000541614
16,421.694,1.59479,2.27763,1.63802,0.92788,0.15304,0.47472,0.21531,1.78619,3.69084,1.68241,0.000571893,0.000571893,0.000571893
17,451.297,1.54084,2.36906,1.61056,0.735,0.45833,0.46552,0.19156,1.86538,3.72111,1.76934,0.000601323,0.000601323,0.000601323
18,480.886,1.49064,2.18854,1.56541,0.90897,0.20512,0.45169,0.18779,1.83846,3.80065,1.82993,0.000629905,0.000629905,0.000629905
19,508.363,1.58872,2.22755,1.59057,0.84709,0.33212,0.45218,0.22111,1.74586,3.58216,1.74994,0.000657637,0.000657637,0.000657637
20,535.02,1.43234,2.11308,1.45829,0.82809,0.375,0.50256,0.23151,1.76438,3.46318,1.79271,0.000684521,0.000684521,0.000684521
21,561.725,1.49377,2.07701,1.57051,0.92558,0.36582,0.45939,0.17806,1.95921,3.42912,2.00422,0.000710556,0.000710556,0.000710556
22,588.563,1.5425,2.18694,1.55102,0.87011,0.29167,0.37435,0.14062,1.92358,3.96217,2.21182,0.000735742,0.000735742,0.000735742
23,615.341,1.46263,2.10217,1.53441,0.87816,0.21783,0.2627,0.12372,1.89406,4.04214,2.13439,0.000760079,0.000760079,0.000760079
24,642.331,1.49466,2.0929,1.52262,0.55911,0.19803,0.28542,0.17735,1.77714,3.83133,1.87621,0.000783568,0.000783568,0.000783568
25,668.825,1.3938,2.2658,1.49831,0.58428,0.25426,0.27386,0.15821,1.99286,3.82501,2.09672,0.000806208,0.000806208,0.000806208
26,695.616,1.70036,2.35066,1.63111,0.92082,0.29167,0.32509,0.16402,1.8176,3.88564,1.98485,0.000827998,0.000827998,0.000827998
27,722.452,1.41842,1.9888,1.48629,0.60918,0.25,0.27846,0.13736,1.81703,4.0165,2.08999,0.00084894,0.00084894,0.00084894
28,749.138,1.59688,2.27701,1.50338,0.61065,0.35592,0.30646,0.14399,1.83507,3.84912,2.09976,0.000869033,0.000869033,0.000869033
29,775.323,1.49655,1.97512,1.49594,0.61065,0.35592,0.30646,0.14399,1.83507,3.84912,2.09976,0.000888278,0.000888278,0.000888278
30,802.42,1.41112,2.00702,1.52054,0.69366,0.37717,0.40898,0.23359,1.73621,3.48488,1.94844,0.000906673,0.000906673,0.000906673
31,829.111,1.55418,2.01566,1.66603,0.81855,0.36824,0.47086,0.23795,1.71947,3.2596,1.83425,0.00092422,0.00092422,0.00092422
32,855.576,1.49948,1.99951,1.43909,0.71085,0.375,0.46473,0.19588,1.83838,3.069,2.00871,0.000940918,0.000940918,0.000940918
33,882.518,1.34871,1.77068,1.37592,0.71085,0.375,0.46473,0.19588,1.83838,3.069,2.00871,0.000956767,0.000956767,0.000956767
34,910.593,1.30143,1.78228,1.42571,0.78464,0.47861,0.57669,0.24981,1.8391,2.86049,1.95757,0.000962146,0.000962146,0.000962146
35,937.442,1.33778,1.85789,1.43574,0.6211,0.55923,0.63215,0.29561,1.7588,2.81329,1.91453,0.000947999,0.000947999,0.000947999
36,965.126,1.4941,1.91153,1.51644,0.49754,0.375,0.50959,0.24427,1.68601,2.97743,1.7733,0.000933851,0.000933851,0.000933851
37,992.034,1.5182,1.71594,1.47967,0.49754,0.375,0.50959,0.24427,1.68601,2.97743,1.7733,0.000919704,0.000919704,0.000919704
38,1018.93,1.44312,1.82032,1.45236,0.64589,0.60018,0.57019,0.28648,1.70006,2.9585,1.85872,0.000905557,0.000905557,0.000905557
39,1046.95,1.36157,1.88947,1.51571,0.47064,0.61979,0.54226,0.22627,1.97703,2.88691,2.26749,0.00089141,0.00089141,0.00089141
40,1076.44,1.40279,1.88432,1.49181,0.3831,0.79444,0.59904,0.1982,2.09848,3.09782,2.53852,0.000877263,0.000877263,0.000877263
41,1106.48,1.42445,1.71056,1.50062,0.3831,0.79444,0.59904,0.1982,2.09848,3.09782,2.53852,0.000863116,0.000863116,0.000863116
42,1134.34,1.42444,1.68109,1.47459,0.66204,0.59124,0.66562,0.24648,2.08244,2.74532,2.44656,0.000848969,0.000848969,0.000848969
43,1161.57,1.30733,1.68899,1.37512,0.67507,0.56944,0.66185,0.31197,2.03479,2.62506,2.26919,0.000834822,0.000834822,0.000834822
44,1188.59,1.44333,1.70166,1.47334,0.76155,0.61111,0.69646,0.32225,2.02569,2.49183,2.28713,0.000820675,0.000820675,0.000820675
45,1215.48,1.47749,1.66527,1.53001,0.76155,0.61111,0.69646,0.32225,2.02569,2.49183,2.28713,0.000806528,0.000806528,0.000806528
46,1242.61,1.34688,1.75779,1.43826,0.66491,0.69444,0.6891,0.31932,1.90628,2.42362,2.1446,0.00079238,0.00079238,0.00079238
47,1269.09,1.27223,1.48361,1.32909,0.70666,0.73611,0.8255,0.35631,1.85459,2.32996,2.10948,0.000778233,0.000778233,0.000778233
48,1295.87,1.23727,1.65006,1.32983,0.83532,0.81631,0.94721,0.4259,1.8613,2.29138,2.08072,0.000764086,0.000764086,0.000764086
49,1322.44,1.43197,1.60822,1.40616,0.83532,0.81631,0.94721,0.4259,1.8613,2.29138,2.08072,0.000749939,0.000749939,0.000749939
50,1349.18,1.37982,1.69394,1.46223,0.87488,0.95598,0.96643,0.45845,1.84774,2.33349,2.0146,0.000735792,0.000735792,0.000735792
51,1375.63,1.27052,1.64106,1.3418,0.86377,0.97229,0.96198,0.45122,1.88464,2.14629,2.05915,0.000721645,0.000721645,0.000721645
52,1402.17,1.34183,1.76032,1.40437,0.91368,0.95128,0.96013,0.46461,1.90744,2.13572,2.09915,0.000707498,0.000707498,0.000707498
53,1428.98,1.26109,1.62464,1.33357,0.91368,0.95128,0.96013,0.46461,1.90744,2.13572,2.09915,0.000693351,0.000693351,0.000693351
54,1456.06,1.22349,1.45694,1.27832,0.91116,0.95775,0.95069,0.45137,1.95287,2.13385,2.13411,0.000679204,0.000679204,0.000679204
55,1482.43,1.22212,1.57093,1.35322,0.88944,0.93443,0.94379,0.42153,1.869,2.04308,2.13525,0.000665057,0.000665057,0.000665057
56,1509.23,1.20693,1.59346,1.31293,0.85987,0.83431,0.90968,0.42513,1.79454,2.00424,2.1432,0.000650909,0.000650909,0.000650909
57,1535.29,1.27563,1.54011,1.41218,0.85987,0.83431,0.90968,0.42513,1.79454,2.00424,2.1432,0.000636762,0.000636762,0.000636762
